*** 유의어 - Synonyms (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/1/)
속이 풀리다	1. to calm down after being angry 2. bloated stomach is settling down  (1. 화를 냈거나 토라졌던 감정이 누그러지다 2. 거북하던 배 속이 가라앉다)
속에 얹히다	be displeased because of indigestion (마음에 걸리는 일이 있어 언짢다)
속에 없는 말 [소리]	say different from what one feel's (속마음과 다르게 하는 말)
속을 달래다	to comfort (속이 좋지 않은 상태를 좀 편하게 만들다)
속이 끓다	boil of anger (화가 나거나 억울한 일을 당해 격한 마음이 치밀어 오르다)
손에 놀다 (놀아나다)	finger play, easy to handle (모든 일이 자신의 수중에서 맘대로 움직이다)
손에 떨어지다	job is done (일이 끝나다)
손을 끊다	wash one´s hands of (one´s business); to finish a task/job (어떤 일을 끝내다)
손을 대다	to start sth (어떤 일을 착수하다)
손을 씻다	wash one´s hands of (one´s business) and sever ties (관계를 끊고 나쁜 일을 그만하다)
손이 놀다	to be at leisure (일거리가 없어 쉬는 상태에 있다)
손이 작다	1. to have few resources 2. to have few means  (1. 물건이나 재물의 씀씀이가 깐깐하고 작다 2. 수단이 적다)
손이 크다	1. to have many resources 2. to have many means (1. 물건이나 재물의 씀씀이가 깐깐하고 크다 2. 수단이 많다)
애가 타다	be anxious, agonized (매우 걱정하고 안타까워하다)
애를 먹다	strain (고생을 많이 하다)
애를 쓰다	make efforts (마음과 힘을 다하여 힘쓰다)
어깨가 가볍다/ 무겁다	to not have responsibility/to have responsibility (무거운 책임에서 벗어나 홀가분하다)
얼굴을 내밀다	show one's face (참석하다)
얼굴이 두껍다	be impudent[shameless, audacious] (창피하거나 부끄러운 것을 모르다)
열(을) 받다	burn (with anger) ;fume;lose one´s temper (사람이 감정의 자극을 받거나 격분하다)
오금이 저리다	knees go numb (마음을 졸여 심하게 긴장을 하다)
이(가) 갈리다/갈다	get really angry (매우 화가 나거나 분을 참지 못해 독한 마음이 생김)
입 (안)이 쓰다	displeased or bad tempered (어떤 일이나 말이 못마땅하여 기분이 언짢다)
입 밖에 내다	utter (어떤 생각이나 사실을 말로 드러내다)
입 안에세 [끝에세] (뱅뱅) 돌다	i want to say sth but i can't (하고 싶은 말이 있어도 하지 아니하거나 또는 못하게 되다)
입(말문)이 떨어지다	sliped my mouth (입에서 말이 나오다)
입(을) 다물다	shut one's mouth (말을 하지 아니하거나 하던 말을 그치다)
입(을) 막다	cover one´s mouth (시끄러운 소리나 자기에게 불리한 말을 하지 못하게 하다)
입(을) 맞추다	match each other's words (서로의 말이 일치하도록 하다) - can also mean "to kiss"
입(을) 모으다	with one mouth (여러 사람이 같은 의견을 말하다)
입(을) 씻다(닦다)	take the profit for one's self, pretend ignorance (이익을 혼자 차지하거나 가로채고서는 시치미 떼다)
입(이) 가볍다[싸다]	be talkative, loose tongued (말이 많거나 아는 일을 함부로 옮기다)
입만 살다	be all talk and no deed; be bold in word only (말에 따르는 행동은 없으면서 말만 그럴듯하게 잘하다)
입만 아프다	to talk in vain (여러 번 말해도 받아들이지 아니하여 말한 보람이 없다)
입에 (게)거품을 물다	froth[foam] at the mouth (매우 흥분해 떠들어댐)
입에 달고 다니다	use sth often (말이나 이야기를 습관처럼 되풀이하거나 자주 사용하다)
입에 담다	speak of; mention (무엇에 대해 말하다)
입에 대다	taste; eat (음식을 먹거나 마시다)
입에 맞다	suit one's taste (음식이나 하는 일이 마음에 들다)
입에 붙다	sth became a habit (아주 익숙하여 버릇이 되다)
입에 침이 마르다	talk non stop (입에 침이 마를 정도로 여러 번 말하다)
입을 딱 벌리다	one's mouth drops in shock or amazement (너무 기가 막혀 어이가 없어하거나 매우 놀라워하다)
입이 무겁다	knows how to keep a secret (비밀을 잘 지키다)
입이 아프다	talk in vain (여러 번 말해도 받아들이지 아니하여 말한 보람이 없다)
입이 짧다	have a small appetite (싫어하거나 먹지 않는 음식이 많다)
잔을 올리다	raise the cup (술을 드리다)
죽을 쑤다	fail at sth (어떤 일을 망치거나 실패하다)
쥐 죽은 듯하다	very quiet (매우 조용하다)
쥐구멍에 들어가다	hide in a hole coz too embarrassed (매우 부끄러워 그 자리를 피하고 싶다)
쥐도 새도 모르게	in secret;on the quiet;behind the scenes (아무도 모르게)
진땀을 흘리다	sweat hard in agony (긴장하거나 매우 힘들어하다)
찬물을 끼얹다	throw a wet blanket; pour cold water at.. (1.잘되어 가는 일을 망치다 2.매우 종용해진 상태)
찬바람이 불다	situation/atmosphere is getting chilly (1.분위기가 싸늘하다 2.사정이 나빠지다)
찬밥 더운밥 가리다	be fussy about one´s food (좋고 나쁜 것을 가리다)
