,0,1
62,아홉,nine (pure-Korean)
63,열,ten (pure-Korean)
64,개,counting unit for things
65,권,counting unit for books
66,좋아하다,to like
67,주부,housewife
68,아주,very
69,안,not
70,고등학생,high school student
71,재미있다,"to be fun, interesting"
72,산,mountain
73,공기,air
74,조용하다,to be quiet
75,깨끗하다,to be clean
76,더럽다,to be dirty
77,예쁘다,to be pretty
78,시끄럽다,to be noisy
79,넓다,"to be wide, broad"
80,좁다,to be narrow
81,복잡하다,"to be crowded, to be complicated"
82,따뜻하다,to be warm
83,시원하다,to be cool
84,덥다,to be hot
85,춥다,to be cold
86,바다,sea
87,그래서,"so, therefore"
88,생선,fish
89,대학교,"college, university"
90,겨울,winter
91,여름,summer
92,친절하다,to be kind
93,들,plural particle
94,사랑하다,to love
95,어떻다,how (it) is
96,경제학,economics
97,전공,"major, field of study"
98,역사학,history
99,정치학,political science
100,경영학,business administration
101,법학,law
102,영문학,English literature
103,의학,medicine
104,컴퓨터공학,computer engineering
105,생물학,biology
106,사장,"CEO, president (of a company)"
107,영어,English language
108,컴퓨터 프로그래머,computer programer
109,방,room
110,한국말,Korean language (spoken)
