,word,frequency
840,상업,2542
841,움직임,859
842,자정,3706
843,멋있다,3788
844,국어,2484
845,걱정되다,5245
846,시아버지,5434
847,만남,2055
848,개인적,2211
849,제시되다,2880
850,기법,2286
851,지켜보다,1417
852,젓다,2042
853,배달,4578
854,어쩐지,3164
855,던지다,470
856,갖추다,603
857,단위,1319
858,틀림없다,1405
859,구르다,3093
860,재수,5123
861,귀국,4077
862,의무,2082
863,배고프다,4170
864,이용하다,224
865,파괴하다,2812
866,빗줄기,4427
867,학력,4888
868,역사상,4112
869,깨소금,4375
870,파출소,3178
871,변명,3870
872,계단,1744
873,이웃,735
874,완전히,613
875,사장,875
876,살림,2801
877,튀기다,4506
878,고소하다,4823
879,일회용품,5032
880,높이,2049
881,여가,4274
882,팩시밀리,4743
883,오월,771
884,게시판,4683
885,독립하다,4467
886,광장,2700
887,못하다,3065
888,이사하다,4793
889,찾아오다,795
890,불안,1573
891,잘못하다,1470
892,잠깐,2084
893,저고리,2551
894,대사,3942
895,용돈,1818
896,연령,3439
897,두려움,2749
898,선물,1380
899,말하다,13
900,인종,4121
901,깊숙이,3661
902,삼키다,2868
903,수도,1324
904,사용하다,180
905,세트,3964
906,주차,5341
907,뵙다,3480
908,필요,255
909,살펴보다,419
910,적용,2306
911,귀가,4630
912,신청하다,3111
913,자식,378
914,특이하다,3502
915,재료,578
916,그렇지,2701
917,소속,1754
918,뒤,56
919,찬물,3534
920,정반대,4447
921,이전,676
922,기준,600
923,흘러가다,2421
924,길가,3470
925,터,2386
926,가져가다,2783
927,가정교사,4368
928,해답,3924
929,공원,2359
930,후보,980
931,예쁘다,784
932,가족,306
933,동안,145
934,짙다,1982
935,아유,2410
936,아줌마,1927
937,소화하다,4031
938,트럭,2737
939,모조리,3732
940,실현되다,3628
941,수년,4388
942,쓸데없다,4535
943,버티다,2016
944,소유자,2374
945,뚫다,2489
946,면,3867
947,양주,4787
948,리듬,2400
949,스님,2324
950,풍속,3458
951,어,331
952,실현하다,2904
953,코치,3842
954,소형,3238
955,참새,1521
956,직업,1252
957,한편,734
958,요구되다,2682
959,떠들다,2217
960,애쓰다,1312
961,재주,3899
962,학번,2741
963,귀중하다,3552
964,새소리,5094
965,그런데,90
966,뭘,4992
967,비중,2018
968,굳히다,4076
969,비행기,913
970,헌,3651
971,대신하다,2427
972,풀,4305
973,긋다,3010
974,주사,3905
975,수험생,3575
976,볼,2941
977,확신,4143
978,정말로,1932
979,속마음,5099
980,보통,1423
981,인정되다,3444
982,서다,140
983,추억,2205
984,눈썹,2426
985,가능,4512
986,힘쓰다,2632
987,그저께,5406
988,이룩하다,1929
989,표시하다,4959
990,대학원,2605
991,기운,2263
992,싣다,1202
993,로터리,4990
994,도착하다,1018
995,한가하다,4453
996,망설이다,2750
997,대단히,1781
998,그러다,49
999,뿌리다,1055
1000,끌어당기다,4232
1001,붙다,566
1002,가장,2745
1003,적합하다,2998
1004,사물,1034
1005,풍경,1908
1006,미인,4246
1007,벌써,525
1008,어머님,2326
1009,전달,3390
1010,노인,847
1011,고전,2194
1012,밤새,4701
1013,싹,5011
1014,토론자,5141
1015,행위,394
1016,전환하다,3393
1017,홈페이지,4891
1018,성공적,3624
1019,빼놓다,3799
1020,도시,313
1021,어려움,1144
1022,소수,2987
1023,무궁화,4381
1024,분홍색,5288
1025,난리,3471
1026,주의하다,3078
1027,탁월하다,3400
1028,팬티,4618
1029,띄다,1421
1030,고추,1673
1031,예측하다,2992
1032,미안하다,1171
1033,생기다,179
1034,전문적,4124
1035,자연,260
1036,통,4557
1037,오른손,4041
1038,채소,2443
1039,친절,4360
1040,강렬하다,2785
1041,모,4020
1042,이기다,871
1043,통장,2847
1044,점수,2842
1045,비비다,3151
1046,또한,174
1047,파티,3601
1048,월요일,3587
1049,장기간,4046
1050,자랑스럽다,2062
1051,긴장,1966
1052,연예인,2804
1053,호박,2852
1054,골짜기,3091
1055,허락,4142
1056,몸살,4837
1057,온통,1785
1058,실체,2002
1059,과연,673
1060,무너지다,1422
1061,마음대로,2337
1062,알아내다,3329
1063,치마,1959
1064,벼,3278
1065,전하다,615
1066,배우,1735
1067,하천,1830
1068,안,4785
1069,옆구리,3698
1070,기억되다,5162
1071,미루다,1699
1072,신용,1798
1073,중년,3758
1074,주어지다,1176
1075,의논하다,3340
1076,모집,3949
1077,능력,376
1078,진하다,2417
1079,강아지,5333
1080,궁금하다,1462
1081,나물,3142
1082,건조하다,4895
1083,존경하다,3830
1084,뛰어나오다,4988
1085,밖,183
1086,청소,1984
1087,텍스트,1986
1088,예절,1954
1089,터지다,861
1090,곡식,2747
1091,드디어,1638
1092,오해,2727
1093,아가씨,1975
1094,돌려주다,4468
1095,책임감,4297
1096,쭉,2846
1097,영상,5438
1098,당당하다,2708
1099,설명되다,3483
1100,위협,2158
1101,들이다,1198
1102,의존하다,1786
1103,그래픽,4903
1104,야외,4271
1105,입다,264
1106,외교관,3699
1107,오래,758
1108,간호사,4625
1109,살아가다,713
1110,도구,1917
1111,근로자,1554
1112,쓰러지다,2059
1113,대기업,1915
1114,닮다,1748
1115,당하다,515
1116,소스,2175
1117,우울하다,4114
1118,라이벌,5177
1119,내다보다,2240
1120,읽다,142
1121,옛,1136
1122,지폐,4951
1123,발견,2340
1124,밥그릇,3371
1125,음식,294
1126,썰렁하다,4109
1127,발전하다,763
1128,데려오다,5069
1129,회관,3602
1130,움직이다,367
1131,서류,2407
1132,이동,1883
1133,잠바,4286
1134,안다,721
1135,답,3227
1136,가구,4624
1137,추천하다,4880
1138,형님,1030
1139,아빠,279
1140,자판,2305
1141,복사하다,4845
1142,여름,590
1143,걷다,4750
1144,경찰서,2559
1145,춤,1147
1146,선거,220
1147,아뇨,4536
1148,늘어나다,626
1149,수도권,2346
1150,전선,4048
1151,매너,3514
1152,입맛,3246
1153,진행자,4295
1154,기념일,5429
1155,쏘다,1926
1156,전망하다,3531
1157,끌리다,4084
1158,기쁘다,1290
1159,열쇠,3202
1160,자주,514
1161,성공하다,1641
1162,판단하다,1492
1163,열다,208
1164,대표하다,3361
1165,초청,3453
1166,최저,4504
1167,변화,214
1168,태어나다,523
1169,바라다,440
1170,메모,4573
1171,양보,5017
1172,예정되다,3288
1173,손등,4481
1174,어울리다,770
1175,쳐다보다,942
1176,누구,72
1177,무릎,1300
1178,화가,2528
1179,일상생활,2413
1180,아픔,1880
1181,증거,1690
1182,제발,2809
1183,쪽,4612
1184,그치다,898
1185,노선,3226
1186,허용하다,2310
1187,넘어서다,1346
1188,소중하다,1574
1189,평균,1103
1190,챙기다,1182
1191,만점,4166
1192,보살피다,3796
1193,얹다,2225
1194,장난,2957
1195,건넌방,4969
1196,숙제,1291
1197,꿀,3662
1198,다,3271
1199,숫자,1442
1200,담당하다,1995
1201,경계,1963
1202,학생,164
1203,상상하다,2273
1204,신사,4931
1205,아무리,531
1206,금세,2823
1207,참가,3253
1208,권리,1140
1209,참기름,2258
1210,국적,3605
1211,시선,798
1212,대사관,4158
1213,사랑,275
1214,제삿날,4874
1215,알아보다,287
1216,흔들리다,1890
1217,그냥,222
1218,바구니,3951
1219,제한하다,2731
1220,약점,3433
1221,환율,3997
1222,마크,3676
1223,일시적,4122
1224,흉내,2694
1225,체험,1057
1226,우승,2380
1227,신입생,3162
1228,합격하다,4404
1229,승부,3159
1230,싸움,1083
1231,가져오다,824
1232,오페라,3245
1233,미혼,3684
1234,가이드,3769
1235,목걸이,5250
1236,자취,4493
1237,경력,2888
1238,집,25
1239,매장,2538
1240,더하다,1420
1241,소원,3027
1242,낮아지다,3940
1243,더욱이,1859
1244,불리다,2944
1245,이름,167
1246,명의,2826
1247,부담하다,2865
1248,건너다,1808
1249,나라,156
1250,필통,5401
1251,범위,1255
1252,염려하다,4543
1253,데,35
1254,달리,540
1255,관점,653
1256,솜씨,1862
1257,이성,5210
1258,마무리,2931
1259,약국,4595
1260,전공,2770
1261,요새,2872
1262,마늘,1379
1263,목록,3318
1264,심판,3113
1265,재즈,3247
1266,아스팔트,4538
1267,봄,752
1268,쇠고기,1722
1269,빵,1677
1270,접근하다,1906
1271,평상시,5145
1272,재채기,5125
1273,내버리다,3473
1274,괴로워하다,5059
1275,용,3748
1276,똑같이,2099
1277,체중,3254
1278,붙이다,542
1279,말,2101
1280,처지,1668
1281,또는,176
1282,책방,5262
1283,경제,134
1284,뒤쪽,3731
1285,대답하다,856
1286,그대로,253
1287,밑,495
1288,넘겨주다,3857
1289,교장,863
1290,밤중,4914
1291,행해지다,3260
1292,신설,3810
1293,역할,328
1294,혼잣말,4963
1295,뒤따르다,2399
1296,친해지다,4811
1297,홀로,2815
1298,보존하다,3798
1299,공책,3774
1300,유지되다,3823
1301,지적,4293
1302,금지되다,4004
1303,중세,1444
1304,열매,2840
1305,두껍다,2268
1306,권투,4516
1307,열리다,5202
1308,울음,2548
1309,대회,361
1310,일대,4199
1311,푹,3403
1312,교환하다,3467
1313,탁구,5266
1314,교육,132
1315,이동하다,2995
1316,최선,2089
1317,새벽,812
1318,중얼거리다,3002
1319,급증하다,3937
1320,되돌아보다,4832
1321,내일,2790
1322,귓속,4902
1323,깎다,1967
1324,톤,1002
1325,버리다,541
1326,즉,191
1327,주민,381
1328,장례식,5122
1329,집중하다,5040
1330,작은딸,5463
1331,자전거,957
1332,형편,1671
1333,햄버거,4367
1334,시계,1331
1335,심리적,4392
1336,조용히,1611
1337,오후,458
1338,매달리다,1545
1339,쓴맛,5107
1340,년대,257
1341,정상적,3642
1342,디자이너,5173
1343,명절,3064
1344,저러다,4444
1345,궁극적,2392
1346,정상,3641
1347,목욕탕,4092
1348,몹시,1340
1349,전망,1185
1350,자라다,591
1351,브랜드,4098
1352,청하다,2960
1353,빨래,2109
1354,전설,3900
1355,불편,3150
